,Product_name,Prices,Description,Reviews
175,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
176,"realme 8i (Space Black, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.5
177,"Redmi 9 (Sky Blue, 64 GB)","₹10,450","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
178,"POCO M2 Pro (Out of the Blue, 64 GB)","₹17,999","<li class=""rgWa7D"">6 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.4
179,"Infinix Hot 11S (Green Wave, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.3
180,"realme C25s (Watery Grey, 128 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4.4
181,"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)","₹14,490","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.3
182,"MOTOROLA g31 (Meteorite Grey, 128 GB)","₹10,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.1
183,"SAMSUNG Galaxy A13 (Peach, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.1
184,"realme 9i (Prism Black, 128 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.5
185,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
186,"Infinix Hot 11S (Silver Wave, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.3
187,"SAMSUNG Galaxy A13 (Green, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.1
188,"OPPO A15S (Rainbow Silver, 64 GB)","₹13,000","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.3
189,"REDMI Note 10 lite (Glacier White, 64 GB)","₹14,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.3
190,"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)","₹14,989","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.1
191,"SAMSUNG Galaxy A04e (Light Blue, 128 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
